User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
(aeropagitica)	11928	38	0	0	50	2	0	1733	42	0	0	0	13793
172	16	0	0	0	23	7	0	52	40	0	0	0	138
17Drew	317	1	0	0	2	0	0	37	1	0	0	0	358
23skidoo	539	8	0	0	33	6	0	131	13	0	0	0	730
2over0	604	25	3	0	73	2	24	99	8	1	0	2	841
52 Pickup	104	3	0	0	6	1	0	73	6	0	0	0	193
7SeriesBOT	5254	0	0	0	0	0	0	0	0	0	0	0	5254
@pple	527	51	0	0	4	1	0	66	9	0	0	0	658
A Man In Black	3052	63	0	0	164	24	1	179	34	0	0	0	3517
A Train	237	6	0	0	19	4	0	51	2	2	0	0	321
A. B.	136	590	0	0	101	2	4	244	33	6	0	0	1116
AA	830	7	0	0	2	2	1	14	2	0	0	0	858
ABCD	3138	29	0	0	432	27	0	62	41	2	0	2	3733
AGK	2098	127	5	0	251	61	60	586	83	8	0	65	3344
AKeen	11	6	0	0	13	0	3	2	0	0	0	0	35
AZT2008	0	0	0	0	1	0	0	0	0	0	0	0	1
Aarktica	207	2	0	0	1	0	0	2	1	0	0	0	213
Aaron Brenneman	1030	25	0	0	41	81	1	136	13	0	0	0	1327
Abecedare	234	14	0	0	86	2	10	183	8	12	0	2	551
Academic Challenger	19821	38	0	0	183	34	0	2674	21	5	0	0	22776
Acalamari	5881	69	0	0	2879	72	195	1290	112	14	0	921	11433
Accounting4Taste	27865	65	0	0	425	14	2	91	0	4	0	4	28470
Acetic Acid	65	3	0	0	7	2	0	66	9	0	0	0	152
Acropolis now	0	0	0	0	3	0	0	0	0	0	0	0	3
Acroterion	31398	84	2	0	590	18	26	2367	44	90	0	12	34631
Adam Bishop	3645	17	0	0	45	13	2	121	22	0	0	1	3866
Adambiswanger1	75	0	0	0	15	4	0	48	1	0	0	0	143
Adambro	1885	17	0	0	47	1	5	188	6	4	0	4	2157
Adashiel	362	51	0	0	51	33	1	369	29	0	0	0	896
Addshore	763	11	0	0	4	1	2	222	8	4	0	5	1020
AdjustShift	164	0	0	0	17	1	1	551	2	29	0	2	767
Admiral Norton	380	6	0	0	6	0	0	6	0	0	0	2	400
Admrboltz	2754	4	0	0	27	15	0	101	11	0	0	2	2914
Aecis	3805	39	0	0	91	5	0	163	3	0	0	0	4106
Aervanath	1905	303	0	0	43	5	6	51	10	2	0	0	2325
After Midnight	36941	205	0	0	32	6	0	60	6	0	0	0	37250
Agathoclea	1134	52	0	0	51	5	4	169	16	1	0	1	1433
Ahoerstemeier	13556	107	0	0	43	5	1	2017	11	2	0	0	15742
Ais523	299	16	0	0	16	3	0	8	6	0	0	0	348
Aitias	3438	68	0	0	224	18	298	1224	78	51	0	74	5473
Akhilleus	858	4	0	0	45	3	4	427	30	1	0	0	1372
Akirn	754	5	2	0	5	0	1	193	1	5	0	3	969
